,THINGS-concept
0,aardvark
1,abacus
2,accordion
3,acorn
4,air conditioner
5,air mattress
6,air pump
7,airbag
8,airboat
9,aircraft carrier
10,airplane
11,album (photographic album)
12,alligator
13,almond
14,aloe
15,alpaca
16,altar
17,aluminum foil
18,amber
19,ambulance
20,amplifier
21,anchor
22,ankle
23,anklet
24,ant
25,anteater
26,antelope
27,antenna
28,anvil
29,appetizer
30,apple
31,apple tree
32,applesauce
33,apron
34,aquarium
35,arch
36,arm
37,armor
38,arrow
39,artichoke
40,arugula
41,ashtray
42,asparagus
43,avocado
44,awning
45,axe
46,baby
47,backdrop
48,backgammon
49,backpack
50,backscratcher
51,bacon
52,badge
53,badger
54,bag
55,bagel
56,bagpipe
57,baklava
58,balance beam
59,ball
60,balloon
61,ballot box
62,bamboo
63,banana
64,banana peel
65,banana split
66,bandage
67,bandanna
68,banjo
69,bank (money box)
70,banner
71,barbed wire
72,barbell
73,barcode
74,bark
75,barnacle
76,barrel
77,barrette
78,baseball (ball)
79,baseball bat
80,baseball glove
81,basil
82,basket
83,basketball (ball)
84,basketball hoop
85,bassinet
86,bassoon
87,bat (animal)
88,bat (sports)
89,bathmat
90,bathrobe
91,bathtub
92,baton (conductor's baton)
93,baton (police truncheon)
94,baton (twirling)
95,baton (relay running)
96,batter (baking)
97,battery
98,bazooka
99,beachball
100,bead
101,beaker
102,bean
103,beanbag
104,beanie (hat)
105,bear
106,beard
107,beaver
108,bed
109,bedpan
110,bedpost
111,bee
112,beehive
113,beer
114,beet
115,beetle
116,bell
117,bell pepper
118,belt
119,belt buckle
120,bench
121,berry
122,bib
123,bike (bicycle)
124,bikini
125,bin (storage)
126,binder
127,binoculars
128,bird
129,birdbath
130,birdcage
131,birdhouse
132,birthday cake
133,biscuit
134,bison
135,blackberry
136,blanket
137,blazer
138,blender
139,blimp
140,blind (window)
141,blinder (horse)
142,blindfold
143,block
144,blouse
145,blower
146,blowfish
147,blowgun
148,blowtorch
149,blueberry
150,boa (feather boa)
151,boar
152,board (wooden board)
153,board game
154,boat
155,bobsled
156,bok choy
157,bolo tie
158,bologna
159,bolt (screw)
160,bomb
161,bone
162,bongo (musical instrument)
163,bonnet
164,bonsai
165,book
166,bookmark
167,bookshelf
168,boomerang
169,boot
170,bottle
171,bottle opener
172,boulder
173,bouquet
174,bow (hair knot)
175,bow (weapon)
176,bow (decoration)
177,bowl
178,bowler hat
179,bowling ball
180,bowtie
181,box
182,boxer shorts
183,boxing gloves
184,boy
185,bra
186,brace
187,bracelet (wristband)
188,bracelet (jewelry)
189,bracket
190,braid
191,brake
192,branch (tree)
193,brass knuckles
194,bread
195,breadbox
196,breadstick
197,breakfast
198,breathalyzer
199,brick
200,briefcase
201,broccoli
202,brooch
203,broom
204,brownie
205,brush (hair)
206,brussels sprouts
207,bubble
208,bubble wrap
209,bucket
210,buckle
211,buffet
212,bug
213,buggy
214,bull
215,bulldozer
216,bullet
217,bulletin board
218,bulletproof vest
219,bumper (car)
220,bun (bread)
221,bungee
222,bunkbed
223,buoy (anchored buoy)
224,burner (stove burner)
225,burrito
226,bus
227,bush
228,butter
229,butterfly
230,button (device button)
231,button (clothes button)
232,cabbage
233,cabinet (kitchen)
234,cable
235,cactus
236,cage (animals)
237,cake
238,cake mix
239,calamari
240,calculator
241,calf (animal)
242,calf (leg)
243,calzone
244,camcorder
245,camel
246,camera lens
247,camera (photos)
248,camera (videos)
249,camper
250,can (tin)
251,can opener
252,candelabra
253,candle
254,candlestick
255,candy
256,candy bar
257,candy cane
258,cane (walking)
259,canister (food)
260,cannon
261,cannonball
262,canoe
263,cantaloupe
264,canvas (painting)
265,cap (bottle cap)
266,cape (garment)
267,car
268,car door
269,car seat (car part)
270,caramel
271,card (playing card)
272,cardboard
273,cardigan
274,cardinal
275,carousel
276,carriage
277,carrot
278,cart
279,cash machine
280,cash register
281,cashew
282,casserole (food)
283,cassette
284,cat
285,catapult
286,caterpillar
287,catfish
288,cauliflower
289,caviar
290,cd player
291,celery
292,cello
293,cellphone
294,cement mixer
295,centerpiece
296,centrifuge
297,cereal
298,chain
299,chainsaw
300,chair
301,chalice
302,chalk
303,chalkboard
304,champagne
305,chandelier
306,chaps
307,charcoal
308,charger (recharger)
309,chariot
310,checkbook
311,checkers
312,cheese
313,cheeseburger
314,cheesecake
315,cheetah
316,cherry
317,chess piece
318,chessboard
319,chest (box)
320,chest (body)
321,chick
322,chicken wire
323,chicken (meat)
324,chicken (animal)
325,chickpea
326,chihuahua
327,chili (stew)
328,chime
329,chimney
330,chin
331,chinaware
332,chinchilla
333,chip (microchip)
334,chipmunk
335,chips
336,chisel
337,chive
338,chocolate
339,chopsticks
340,christmas card
341,christmas tree
342,chute
343,cigar
344,cigarette
345,cigarette butt
346,cigarette holder
347,cilantro
348,cinnamon
349,clam
350,clarinet
351,clasp
352,clay
353,cleat (sports)
354,cleaver
355,clipboard
356,clipper (garden)
357,clipper (nails)
358,cloak
359,clock
360,closet
361,clothes
362,clothesline
363,clothespin
364,cloud
365,clove
366,clover
367,coal
368,coaster
369,coat
370,coat rack
371,cobra
372,cockatoo
373,cockroach
374,cocktail
375,coconut
376,cocoon
377,coffee
378,coffee bean
379,coffee filter
380,coffee pot
381,coffee table
382,coffeemaker
383,coffin
384,coil
385,coin
386,coleslaw
387,collar
388,column (pillar)
389,comb
390,combination lock
391,comic book
392,compass
393,compost
394,computer
395,computer screen
396,confetti
397,contact lens
398,container
399,cooker
400,cookie
401,cookie cutter
402,cookie sheet
403,cooler
404,coop
405,copier
406,coral
407,cord
408,cordon bleu
409,cork
410,corkboard
411,corkscrew
412,corn
413,cornbread
414,cornhusk
415,cornmeal
416,cornucopia
417,corsage
418,corset
419,costume
420,cot
421,cotton candy
422,couch
423,cougar
424,counter
425,coverall
426,cow
427,coyote
428,crab
429,cracker
430,cranberry
431,crane (tower crane)
432,crank
433,crate (box)
434,crayfish
435,crayon
436,cream (cosmetics)
437,cream cheese
438,credit card
439,creme brulee
440,crepe
441,crib
442,croissant
443,cross
444,crossbow
445,crouton
446,crow
447,crowbar
448,crown (jewelry)
449,crucifix
450,cruise ship
451,crumb
452,crutch
453,crystal ball
454,crystal (material)
455,crystal (rock)
456,cuckoo clock
457,cucumber
458,cufflink
459,cummerbund
460,cup
461,cupcake
462,curb
463,curling iron
464,curry
465,curtain
466,cushion
467,cutting board
468,cymbal
469,dagger
470,daisy
471,dalmatian
472,dandelion
473,dart
474,dartboard
475,dashboard
476,deer
477,defibrillator
478,denture
479,deodorant
480,desk
481,dessert
482,detonator
483,dial (rotary dial)
484,diamond
485,diaper
486,dice
487,dip
488,dirt bike (vehicle)
489,dish (food)
490,dishrag
491,dishwasher
492,dishwashing liquid
493,diskette
494,diving board
495,dog
496,dogfood
497,doghouse
498,doily
499,doll
500,dollhouse
501,dolly (hand truck)
502,dolphin
503,domino
504,donkey
505,donut
506,door
507,doorbell
508,doorhandle
509,doorknob
510,doorknocker
511,doormat
512,doorstop
513,dough
514,dragonfly
515,drain
516,drawer
517,dreidel
518,dress
519,dresser
520,drill
521,drink
522,drum
523,drum stick (instrument)
524,dryer
525,duck
526,duckling
527,duct
528,duct tape
529,duffel bag
530,dumbbell
531,dumbwaiter
532,dumpling
533,dumpster
534,duster
535,dustpan
536,dynamite
537,eagle
538,ear
539,earplug
540,earring
541,earwig
542,easel
543,easter egg
544,eclair (food)
545,eel
546,egg
547,egg roll
548,eggbeater
549,eggnog
550,eggplant
551,eggshell
552,elbow
553,electric chair
554,elephant
555,emerald
556,enchilada
557,engine
558,envelope
559,eraser
560,espresso
561,exerciser (sport equipment)
562,exhaust pipe
563,extinguisher
564,eye
565,eye patch
566,eyedropper
567,eyeliner
568,eyepiece
569,face
570,face mask (protection)
571,fan (mechanical fan)
572,fast food
573,faucet (tap)
574,feather
575,fence
576,fencepost
577,fern
578,ferret
579,ferris wheel
580,ferry
581,fig
582,figurine
583,file (tool)
584,file (card index)
585,filing cabinet
586,film (film strip)
587,filter (car)
588,finger
589,fingerprint
590,fire
591,fire alarm
592,fire hydrant
593,fire pit
594,firecracker
595,fireplace
596,firetruck
597,firewood
598,fireworks
599,first-aid kit
600,fish
601,fishbowl
602,fishhook
603,fishing pole
604,fishnet stockings
605,flag
606,flagpole
607,flamethrower
608,flamingo
609,flan
610,flashbulb
611,flashlight
612,flask
613,flatiron (hair)
614,flip-flop
615,flipper (shoe)
616,float
617,floss
618,flour
619,flower
620,flute
621,fly
622,flypaper
623,flyswatter
624,foam
625,folder
626,fondue
627,food processor
628,foot
629,football
630,football helmet
631,footbath
632,footprint
633,footrest
634,fork
635,forklift
636,fossil
637,fountain pen
638,fox
639,frame (painting)
640,freezer
641,french fries
642,french horn
643,frisbee
644,frog
645,fruit
646,fruitcake
647,fudge
648,fungus
649,funnel
650,fur coat
651,furnace
652,fuse
653,gallows
654,game
655,garbage
656,garbage truck
657,gargoyle
658,garlic
659,garter (lingerie)
660,gas mask
661,gasket
662,gate
663,gauge
664,gauze
665,gavel
666,gazelle
667,gear
668,gearshift
669,gel
670,gem
671,generator
672,gift
673,ginger
674,gingerbread man
675,giraffe
676,girl
677,glass (drinking glass)
678,glasses (eye glasses)
679,globe (spinning globe)
680,glove
681,glue
682,go-kart
683,goalpost
684,goat
685,goblet
686,goggles
687,gold
688,goldfish
689,golf cart
690,golf club
691,gondola
692,gong
693,goose
694,gopher
695,gorilla
696,gourd
697,graffiti
698,grain
699,gramophone
700,granite
701,granola
702,grape
703,grapefruit
704,grapevine
705,grass
706,grasshopper
707,grate
708,grater
709,gravel
710,gravestone
711,gravy
712,green beans
713,grenade
714,grill
715,grille (car part)
716,grinder
717,grits
718,groundhog
719,guacamole
720,guardrail
721,guillotine
722,guinea pig
723,guitar
724,gum
725,gumball
726,gumdrop
727,gun
728,gurney
729,gutter
730,gyro
731,gyroscope
732,hail (precipitation)
733,hair
734,hairbrush
735,hairdryer
736,hairnet
737,hairpin (bobby pin)
738,hairspray
739,ham
740,hamburger
741,hammer
742,hammock
743,hamster
744,hand
745,handbrake
746,handcuff
747,handkerchief
748,handle
749,handlebar (bicycle)
750,handprint
751,hanger
752,hard disk
753,harmonica
754,harness
755,harp
756,hash (food)
757,hat
758,hatbox
759,hatchet
760,hawk
761,hay
762,headband
763,headdress
764,headlamp
765,headlight
766,headphones
767,headrest
768,headscarf
769,headset
770,hearing aid
771,hearse
772,heater
773,hedge
774,hedgehog
775,helicopter
776,helmet
777,highchair
778,highlighter
779,hinge
780,hip
781,hippopotamus
782,hobbyhorse
783,hockey stick
784,hoe
785,hole
786,holster
787,home plate
788,honey
789,honeycomb
790,honeypot
791,hood
792,hoodie
793,hook (door hook)
794,hook (attachment hook)
795,hookah
796,hopscotch
797,horn (warning horn)
798,horse
799,horseshoe
800,hose
801,hot chocolate
802,hot tub
803,hot-air balloon
804,hot-water bottle
805,hotdog
806,hotplate
807,hourglass
808,hovercraft
809,hubcap
810,hula hoop
811,hummingbird
812,hummus
813,humvee
814,hydrant
815,hyena
816,ice
817,ice cream
818,ice cube
819,ice pack
820,ice-cream cone
821,icemaker
822,icepick
823,iceskate
824,icicle
825,iguana
826,incense
827,incubator
828,inhaler
829,ink
830,inkwell
831,insole
832,iron (ironing iron)
833,ironing board
834,ivy
835,jack (lifting jack)
836,jacket
837,jackhammer
838,jalapeno
839,jam
840,jar
841,javelin
842,jeans
843,jeep
844,jelly bean
845,jellyfish
846,jersey
847,jet
848,jetski
849,jewel
850,jewelry
851,jigsaw puzzle
852,joystick
853,jug
854,juice
855,juicer (juice squeezer)
856,juicer (machine)
857,jukebox
858,jump rope
859,jumpsuit
860,kale
861,kaleidoscope
862,kangaroo
863,kayak
864,kazoo
865,kebab
866,keg
867,ketchup
868,kettle
869,key
870,keyboard
871,keyhole
872,kilt
873,kimono
874,kite
875,kitten
876,kiwi
877,knee
878,kneepad
879,knife
880,knitting
881,knitting needle
882,knob
883,knot
884,koala
885,lab coat
886,ladder
887,ladle
888,ladybug
889,lamb
890,lamb chop
891,lamp
892,lamppost
893,lampshade
894,landmine
895,lantern
896,lanyard
897,laptop
898,lasagna
899,laser pointer
900,latch
901,latte
902,laundry basket
903,lava
904,lavender
905,lawnmower
906,leaf
907,leash
908,lectern (podium)
909,leech
910,leek
911,leg
912,leggings
913,lego
914,lemon
915,lemonade
916,lens
917,leopard
918,leotard
919,letter opener
920,lettuce
921,license plate
922,licorice
923,lid (cover)
924,life jacket
925,lifesaver (life buoy)
926,light switch
927,lightbulb
928,lighter
929,lightning bug
930,lime
931,limousine
932,lingerie
933,lion
934,lip balm
935,lip gloss
936,lipstick
937,lizard
938,llama
939,lobster
940,lock
941,locker
942,locket
943,log
944,loincloth
945,lollipop
946,loom
947,loveseat
948,luggage
949,lumber
950,lunchbox
951,macadamia
952,macaroni
953,machete
954,machine gun
955,maggot
956,magnet
957,magnifier
958,magnifying glass
959,mail
960,mailbox
961,makeup
962,mallet
963,man
964,manatee
965,mandolin
966,mango
967,manhole
968,mannequin
969,mantle (mantelpiece)
970,map
971,maple syrup
972,marble
973,margarita
974,marijuana
975,marker
976,marmalade
977,marshmallow
978,mascara
979,mashed potato
980,mask
981,mast (sailing)
982,mat (doormat)
983,match
984,matchbox
985,mattress
986,measuring cup
987,meat
988,meat grinder
989,meatball
990,meatloaf
991,medal
992,meerkat
993,megaphone
994,melon
995,memory stick
996,metal detector
997,metronome
998,microphone
999,microscope
1000,microwave
1001,milk
1002,milkshake
1003,minivan
1004,mint (herb)
1005,mirror
1006,missile
1007,mistletoe
1008,mitten
1009,mixer (electric whisk)
1010,moccasin (shoe)
1011,modem
1012,mold (form)
1013,mold (fungus)
1014,mole
1015,money
1016,mongoose
1017,monkey
1018,moose
1019,mop
1020,mosquito
1021,mosquito net
1022,moss
1023,moth
1024,motherboard
1025,motorcycle
1026,mouse (animal)
1027,mouse (computer)
1028,mousepad
1029,mousetrap
1030,mousse
1031,mouth
1032,mouthpiece (gumshield)
1033,mud
1034,muff (hands)
1035,muffin
1036,mug
1037,mulberry
1038,mulch
1039,mullet (hair)
1040,mushroom
1041,music box
1042,mussel
1043,mustache
1044,mustard
1045,nacho
1046,nail (metal)
1047,nail clippers
1048,nail file
1049,nail polish
1050,napkin
1051,napkin ring
1052,navel (belly button)
1053,neck
1054,necklace
1055,needle
1056,nest
1057,net
1058,nightshirt
1059,nightstand
1060,noisemaker (party)
1061,noodle
1062,noose
1063,nose
1064,notebook
1065,notepad
1066,nut
1067,nutcracker (tool)
1068,oar
1069,oatmeal
1070,octopus
1071,odometer
1072,oil
1073,oilcan
1074,okra
1075,olive
1076,omelet
1077,onion
1078,orange
1079,orange rind
1080,orangutan
1081,orchid
1082,organ (instrument)
1083,origami
1084,ostrich
1085,otter
1086,ottoman
1087,outfit
1088,outlet
1089,oven
1090,overalls
1091,owl
1092,oyster
1093,pacifier
1094,paddle
1095,padlock
1096,paint
1097,paintbrush
1098,painting
1099,pajamas
1100,palette
1101,pallet
1102,palm tree
1103,pan
1104,pancake
1105,panda
1106,panther
1107,panties
1108,pants
1109,pantsuit
1110,pantyhose
1111,papaya
1112,paper
1113,paper bag
1114,paper plate
1115,paper towel
1116,paperclip
1117,paperweight
1118,parachute
1119,parfait
1120,parking meter
1121,parrot
1122,parsley
1123,pasta
1124,pastry
1125,patch (textile)
1126,patty
1127,payphone
1128,pea
1129,peach
1130,peacock
1131,peanut
1132,peanut butter
1133,pear
1134,pearl
1135,pecan
1136,pedal
1137,pedometer
1138,peeler
1139,peg
1140,pelican
1141,pen
1142,pencil
1143,pencil sharpener
1144,pendulum
1145,penguin
1146,penholder
1147,penlight
1148,pennant
1149,pepper mill
1150,pepper (seasoning)
1151,pepper (vegetable)
1152,peppermint (candy)
1153,pepperoni
1154,perfume
1155,periscope
1156,pesto
1157,pet food
1158,petal
1159,petri dish
1160,pheasant
1161,phone
1162,phone booth
1163,photo booth
1164,photograph
1165,piano
1166,pickax
1167,pickle
1168,pie
1169,piecrust
1170,pig
1171,pigeon
1172,piggy bank
1173,piglet
1174,pill
1175,pillbox
1176,pillow
1177,pin (fixing pin)
1178,pinball
1179,pin cushion (textile)
1180,pine needle
1181,pine tree
1182,pineapple
1183,pinecone
1184,ping-pong table
1185,pinwheel
1186,pipe (smoking)
1187,pipe (tube)
1188,pistachio
1189,pita
1190,pitcher
1191,pitchfork
1192,pizza
1193,place mat
1194,plant
1195,plaster cast
1196,plastic film
1197,plate (dish)
1198,platypus
1199,playing card
1200,playpen
1201,pliers
1202,plug
1203,plum
1204,plunger
1205,pocket (pants)
1206,pocket watch
1207,pocketknife
1208,pogo stick
1209,poinsettia
1210,poker (fire rake)
1211,polar bear
1212,polaroid
1213,pole
1214,police car
1215,polisher (buffing machine)
1216,polo shirt
1217,polygraph
1218,pom-pom
1219,pomegranate
1220,pony
1221,poodle
1222,pool table
1223,popcorn
1224,poppy
1225,popsicle
1226,porcupine
1227,porthole
1228,possum
1229,poster
1230,pot
1231,potato
1232,potholder
1233,pothole
1234,potpie
1235,potpourri
1236,powder
1237,power line
1238,praying mantis
1239,pretzel
1240,printer
1241,prism
1242,projector
1243,propeller
1244,prune
1245,puck
1246,pudding
1247,puddle
1248,puffin
1249,pug
1250,pulley
1251,pulpit
1252,pump
1253,pumpkin
1254,punch (beverage)
1255,punch (hole punch)
1256,punching bag
1257,puppet
1258,puppy
1259,purse
1260,quad
1261,quesadilla
1262,quiche
1263,quill
1264,quilt
1265,rabbit
1266,raccoon
1267,racehorse
1268,rack (stand)
1269,rack (shelf)
1270,racket
1271,radar
1272,radiator (heater)
1273,radio
1274,radish
1275,raft
1276,rag
1277,railing
1278,rain gauge
1279,raincoat
1280,raisin
1281,rake
1282,ram
1283,ramp (platform)
1284,raspberry
1285,rat
1286,ratchet
1287,rattle
1288,rattlesnake
1289,ravioli
1290,razor
1291,razor blade
1292,ready meal
1293,rearview mirror
1294,recliner
1295,record
1296,record player
1297,recorder (instrument)
1298,red carpet
1299,reel (spool)
1300,refrigerator
1301,reindeer
1302,remote control
1303,retainer (dental)
1304,revolver (gun)
1305,revolving door
1306,rhinoceros
1307,rhubarb
1308,ribbon
1309,rice
1310,rickshaw
1311,rifle
1312,rim (tire rim)
1313,ring
1314,riser (step riser)
1315,road sign
1316,road sweeper (vehicle)
1317,robe
1318,robot
1319,rock
1320,rocket
1321,rocking chair
1322,rocking horse
1323,roll
1324,roller
1325,roller coaster
1326,rollerblade
1327,rollerskate
1328,rolling pin
1329,roof rack
1330,rooster
1331,root
1332,rope
1333,rosary
1334,rose
1335,roulette wheel
1336,router
1337,rubber band
1338,ruby
1339,rudder
1340,rug
1341,ruler
1342,rust
1343,saddle (horse)
1344,safety pin
1345,saffron
1346,sail
1347,sailboat
1348,salad
1349,salami
1350,saltshaker
1351,sand
1352,sandal
1353,sandbag
1354,sandbox
1355,sandcastle
1356,sandpaper
1357,sandwich
1358,sarcophagus
1359,sardine
1360,satellite
1361,satellite dish
1362,sauce
1363,saucer
1364,sauerkraut
1365,sausage
1366,saw
1367,sawhorse
1368,saxophone
1369,scaffold
1370,scaffolding
1371,scale (weighing device)
1372,scallion
1373,scallop
1374,scalpel
1375,scanner
1376,scarecrow
1377,scarf
1378,school bus
1379,scissors
1380,scone
1381,scoop (ladle)
1382,scooter
1383,scoreboard
1384,scorpion
1385,scrabble
1386,scrambled egg
1387,scraper
1388,screen (projection)
1389,screen (net)
1390,screw
1391,screwdriver
1392,scuba
1393,sea urchin
1394,seafood
1395,seagull
1396,seahorse
1397,seal
1398,seaplane
1399,seatbelt
1400,seaweed
1401,seed
1402,seesaw
1403,seismograph
1404,sequin (adornment)
1405,sewage
1406,sewing kit
1407,sewing machine
1408,shaker
1409,shark
1410,shaving cream
1411,shawl
1412,shears
1413,sheath (scabbard)
1414,sheep
1415,sheet
1416,shelf
1417,shell (projectile)
1418,shell (animal housing)
1419,shell (fruit/nut)
1420,shield
1421,ship
1422,shirt
1423,shoe
1424,shoe polish
1425,shoehorn
1426,shoelace
1427,shopping basket
1428,shopping cart
1429,shortbread
1430,shorts
1431,shoulder (body part)
1432,shovel
1433,shower
1434,shower cap
1435,shower curtain
1436,showerhead
1437,shredder
1438,shrimp
1439,shuffleboard
1440,shutter
1441,sickle
1442,sidecar (vehicle carriage)
1443,sifter
1444,silicone
1445,silverware
1446,sim card
1447,sink
1448,siren (alarm)
1449,skateboard
1450,skeleton
1451,skewer (food)
1452,ski
1453,ski boots
1454,ski lift
1455,ski pole
1456,skin
1457,skirt
1458,skull
1459,skunk
1460,sled
1461,sledgehammer
1462,sleeping bag
1463,slicer
1464,slide
1465,slime
1466,sling (arm sling)
1467,slingshot
1468,slipper
1469,slot (inserting slot)
1470,slot machine
1471,sloth
1472,slug
1473,smoke alarm
1474,smoothie
1475,snack
1476,snail
1477,snake
1478,snorkel
1479,snow
1480,snowball
1481,snowboard
1482,snowman
1483,snowmobile
1484,snowplow
1485,snowshoe
1486,snowsuit
1487,soap
1488,soccer ball
1489,sock
1490,soda
1491,soda fountain
1492,sofa bed
1493,solar panel
1494,soldering iron
1495,sombrero
1496,sonogram
1497,sorbet
1498,souffle
1499,soup
1500,soy sauce
1501,space shuttle
1502,spacesuit
1503,spaghetti
1504,spam
1505,spareribs
1506,spark plug
1507,sparkler
1508,spatula
1509,speaker
1510,spear
1511,speedboat
1512,speedometer
1513,spider
1514,spider web
1515,spinach
1516,splinter
1517,sponge
1518,spool
1519,spoon
1520,spout
1521,spring roll
1522,springboard
1523,sprinkler
1524,sprouts
1525,spur
1526,squash
1527,squeegee
1528,squid
1529,squirrel
1530,squirt gun
1531,stained glass
1532,stair
1533,stake
1534,stalagmite
1535,stamp (postage stamp)
1536,stamp (pattern stamp)
1537,staple pin
1538,staple gun
1539,stapler
1540,star fruit
1541,starfish
1542,station wagon
1543,statue
1544,steak
1545,steamroller
1546,steering wheel
1547,stem
1548,step stool
1549,stereo
1550,stethoscope
1551,stew
1552,stick
1553,sticker
1554,stiletto
1555,stilt (walking)
1556,stingray
1557,stir fry
1558,stirrup
1559,stockings
1560,stomach
1561,stool (furniture)
1562,stopwatch
1563,stove (food oven)
1564,stove (heating oven)
1565,straightjacket
1566,strainer
1567,strap
1568,straw (grain)
1569,straw (drinking straw)
1570,strawberry
1571,streetlight
1572,stretcher
1573,string cheese
1574,stroller
1575,stuffing
1576,stump
1577,submarine
1578,subway
1579,sugar cube
1580,suit
1581,suitcase
1582,sundae
1583,sundial
1584,sunflower
1585,sunglasses
1586,sunroof
1587,surfboard
1588,sushi
1589,suspenders
1590,swab (dabber)
1591,swan
1592,sweater
1593,sweatsuit
1594,sweeper
1595,sweet potato
1596,swimming pool
1597,swimsuit
1598,swing
1599,swing set
1600,switch
1601,swizzle stick
1602,sword
1603,swordfish
1604,syringe
1605,syrup
1606,t-shirt
1607,tab (pull tab)
1608,table
1609,tablecloth
1610,tablet (electronic device)
1611,tack (pushpin)
1612,tackle (fishing accessory)
1613,taco
1614,tadpole
1615,taffy
1616,tag (clothing label)
1617,taillight
1618,tamale
1619,tambourine
1620,tank (vehicle)
1621,tank (storage)
1622,tape (adhesive tape)
1623,tape measure
1624,tape recorder
1625,tapestry
1626,tarantula
1627,target
1628,tarp
1629,tattoo
1630,taxi
1631,tea
1632,teabag
1633,teacup
1634,teapot
1635,teddy bear
1636,tee (golf)
1637,teepee
1638,telegraph
1639,telephone pole
1640,telescope
1641,television
1642,tennis ball
1643,tent
1644,terrarium
1645,test tube
1646,thermometer
1647,thermos
1648,thermostat
1649,thimble
1650,thorn
1651,thread
1652,throne
1653,thumb
1654,thumbtack
1655,tiara
1656,tick (insect)
1657,ticktacktoe
1658,tie
1659,tiger
1660,tile
1661,timer
1662,tinsel (lametta)
1663,tiramisu
1664,toad
1665,toast
1666,toaster
1667,toaster oven
1668,toe
1669,toga
1670,toilet
1671,toilet paper
1672,tomato
1673,tomato sauce
1674,tongs
1675,tongue
1676,tool
1677,toolbox
1678,tooth
1679,toothbrush
1680,toothpaste
1681,toothpick
1682,top hat
1683,torch
1684,torpedo
1685,torso
1686,tortellini
1687,tortilla
1688,tostada
1689,totem pole
1690,toucan
1691,touchpad
1692,towel
1693,towel rack
1694,toy
1695,tractor
1696,traffic light
1697,trailer
1698,train
1699,train car
1700,train set
1701,trampoline
1702,trap
1703,trapdoor
1704,trashcan
1705,tray
1706,treadmill
1707,treasure
1708,tree
1709,tree trunk
1710,triangle
1711,tricycle
1712,trident
1713,trigger
1714,tripod
1715,trolley (streetcar)
1716,trombone
1717,trophy
1718,trough
1719,trowel (garden tool)
1720,truck
1721,trumpet
1722,trunk (luggage)
1723,tuba
1724,tube top
1725,tugboat
1726,tulip
1727,tumbleweed
1728,tuning fork
1729,tupperware
1730,turban
1731,turbine
1732,turf
1733,turkey
1734,turnstile
1735,turntable
1736,turtle
1737,turtleneck
1738,tuxedo
1739,tweezers
1740,twig
1741,typewriter
1742,ukulele
1743,umbrella
1744,undershirt
1745,underwear
1746,unicycle
1747,uniform
1748,urinal
1749,urn
1750,vacuum
1751,valve (mechanical)
1752,van
1753,vase
1754,vegetable
1755,veil
1756,velcro
1757,vending machine
1758,vent (exhaust vent)
1759,vest
1760,vial
1761,videocassette
1762,videogame
1763,viewfinder (sightseeing tool)
1764,violin
1765,vise
1766,visor
1767,volleyball
1768,vulture
1769,wafer
1770,waffle
1771,waffle iron
1772,wagon
1773,walker (for older adults)
1774,walker (for toddlers)
1775,wall
1776,wallet
1777,wallpaper
1778,walnut
1779,walrus
1780,wand
1781,warthog
1782,washboard
1783,washcloth
1784,washing machine
1785,wasp
1786,watch (wristwatch)
1787,water bottle
1788,water cooler
1789,water filter
1790,water fountain (drinking fountain)
1791,water heater
1792,watering can
1793,watermelon
1794,water wheel  (mill wheel)
1795,wax
1796,wax paper
1797,weasel
1798,weather vane
1799,webcam
1800,wedding cake
1801,wedge (shim)
1802,weed
1803,wetsuit
1804,whale
1805,wheat
1806,wheel
1807,wheelbarrow
1808,wheelchair
1809,whip (weapon)
1810,whipped cream
1811,whisk (kitchen tool)
1812,whistle (sports whistle)
1813,whiteboard
1814,whoopee cushion
1815,wick (candle wick)
1816,wig
1817,wind chimes
1818,window
1819,windowsill
1820,windshield
1821,windshield wiper
1822,wind sock (wind sleeve)
1823,wine
1824,wine bottle
1825,wine cooler (bucket)
1826,wineglass
1827,wing (airplane)
1828,wire
1829,wire cutters
1830,wok
1831,wolf
1832,woman
1833,wood
1834,wooden leg
1835,workbench
1836,worm
1837,wrap (food)
1838,wrapping paper
1839,wreath (decoration)
1840,wreck (shipwreck)
1841,wrench
1842,wrist
1843,xylophone
1844,yacht
1845,yak
1846,yarn
1847,yo-yo
1848,yogurt
1849,yoke (plowing tool)
1850,yolk (egg)
1851,zebra
1852,zipper
1853,zucchini